d6_f600 - Dämpfung: 6, Motorfreq.: 600
Zeit (ms)	Ausschlag Rad (Grad)	Null Exzenter
24656,2	6,75	0
24671,9	6,75	0
24687,5	6,00	0
24703,1	6,00	0
24718,8	6,00	0
24734,4	6,00	0
24750,0	6,00	0
24765,6	5,25	0
24781,2	5,25	0
24796,9	5,25	0
24812,5	5,25	0
24828,1	4,50	0
24843,8	4,50	0
24859,4	4,50	0
24875,0	3,75	0
24890,6	3,75	0
24906,2	3,75	0
24921,9	3,00	0
24937,5	3,00	0
24953,1	3,00	0
24968,8	2,25	0
24984,4	2,25	0
25000,0	1,50	0
25015,6	1,50	0
25031,2	1,50	0
25046,9	0,75	1
25062,5	0,75	0
25078,1	0,75	0
25093,8	0,00	0
25109,4	0,00	0
25125,0	-0,75	0
25140,6	-0,75	0
25156,2	-0,75	0
25171,9	-1,50	0
25187,5	-1,50	0
25203,1	-1,50	0
25218,8	-1,50	0
25234,4	-2,25	0
25250,0	-2,25	0
25265,6	-2,25	0
25281,2	-2,25	0
25296,9	-3,00	0
25312,5	-3,00	0
25328,1	-3,00	0
25343,8	-3,00	0
25359,4	-3,00	0
25375,0	-3,00	0
25390,6	-3,00	0
25406,2	-3,00	0
25421,9	-3,00	0
25437,5	-3,00	0
25453,1	-3,00	0
25468,8	-3,00	0
25484,4	-3,00	0
25500,0	-2,25	0
25515,6	-2,25	0
25531,2	-2,25	0
25546,9	-2,25	0
25562,5	-2,25	0
25578,1	-2,25	0
25593,8	-1,50	0
25609,4	-1,50	0
25625,0	-1,50	0
25640,6	-0,75	0
25656,2	-0,75	0
25671,9	-0,75	0
25687,5	0,00	0
25703,1	0,00	0
25718,8	0,00	0
25734,4	0,75	0
25750,0	0,75	0
25765,6	0,75	0
25781,2	1,50	0
25796,9	1,50	0
25812,5	2,25	0
25828,1	2,25	0
25843,8	2,25	0
25859,4	3,00	0
25875,0	3,00	0
25890,6	3,00	0
25906,2	3,75	0
25921,9	3,75	0
25937,5	3,75	0
25953,1	4,50	0
25968,8	4,50	0
25984,4	5,25	0
26000,0	5,25	0
26015,6	5,25	0
26031,2	5,25	0
26046,9	6,00	0
26062,5	6,00	0
26078,1	6,00	0
26093,8	6,00	0
26109,4	6,75	0
26125,0	6,75	0
26140,6	6,75	0
26156,2	6,75	0
26171,9	6,75	0
26187,5	6,75	0
26203,1	6,75	0
26218,8	6,75	0
26234,4	6,75	0
26250,0	6,75	0
26265,6	6,75	0
26281,2	6,75	0
26296,9	6,75	0
26312,5	6,75	0
26328,1	6,00	0
26343,8	6,00	0
26359,4	6,00	0
26375,0	6,00	0
26390,6	6,00	0
26406,2	5,25	0
26421,9	5,25	0
26437,5	5,25	0
26453,1	5,25	0
26468,8	4,50	0
26484,4	4,50	0
26500,0	4,50	0
26515,6	3,75	0
26531,2	3,75	0
26546,9	3,75	0
26562,5	3,00	0
26578,1	3,00	0
26593,8	3,00	0
26609,4	2,25	0
26625,0	2,25	0
26640,6	1,50	0
26656,2	1,50	0
26671,9	1,50	0
26687,5	0,75	1
26703,1	0,75	0
26718,8	0,00	0
26734,4	0,00	0
26750,0	0,00	0
26765,6	-0,75	0
26781,2	-0,75	0
26796,9	-0,75	0
26812,5	-1,50	0
26828,1	-1,50	0
26843,8	-1,50	0
26859,4	-2,25	0
26875,0	-2,25	0
26890,6	-2,25	0
26906,2	-2,25	0
26921,9	-2,25	0
26937,5	-3,00	0
26953,1	-3,00	0
26968,8	-3,00	0
26984,4	-3,00	0
27000,0	-3,00	0
27015,6	-3,00	0
27031,2	-3,00	0
27046,9	-3,00	0
