%Tischposition:[Grad]	Messung_1:[s]	Messung_2:[s]	Messung_3:[s]		Fehler:		10 Schwingungen
0			8.80		8.65		8.81
15			9.12		9.06		8.92
30			9.52		9.44		9.45
45			10.06		10.20		9.98
60			10.52		10.42		10.49
75			10.40		10.61		10.64
90			10.63		10.22		10.34
105			9.81		9.96		9.99
120			9.38		9.53		9.41
135			8.95		9.01		8.88
150			8.49		8.56		8.49
165			8.45		8.34		8.41
180			8.56		8.67		8.55
195			9.06		9.14		9.09
210			9.71		9.65		9.48
225			9.97		10.02		10.16
240			10.44		10.28		10.42
255			10.74		10.54		10.42
270			10.34		10.45		10.26
285			9.79		9.90		9.99
300			9.54		9.52		9.45
315			8.84		9.08		8.85
330			8.48		8.55		8.34
345			8.47		8.48		8.47
